# source_escape        placeholder        english
\u5b89\u5fbd        ~~        Anhui
\u798f\u5efa        ~!        Fujian
\u7518\u8083        ~#        Gansu
\u5e7f\u4e1c        ~$        Guangdong
\u5e7f\u897f        ~%        Guangxi
\u8d35\u5dde        ~&        Guizhou
\u6d77\u5357        ~*        Hainan
\u6d77\u5357\u7701        ~~+        Hainan Province
\u6cb3\u5317        ~=        Hebei
\u6cb3\u5357        ~?        Henan
\u9ed1\u9f99\u6c5f        ~~@        Heilongjiang
\u6e56\u5317        ~^        Hubei
\u6e56\u5357        ~_        Hunan
\u5409\u6797        ~|        Jilin
\u5409\u6797\u7701        ~~0        Jilin Province
\u6c5f\u82cf        ~1        Jiangsu
\u6c5f\u897f        ~2        Jiangxi
\u8fbd\u5b81        ~3        Liaoning
\u5185\u8499\u53e4        ~~4        Inner Mongolia
\u5b81\u590f        ~5        Ningxia
\u9752\u6d77        ~6        Qinghai
\u5c71\u4e1c        ~7        Shandong
\u9655\u897f        ~8        Shaanxi
\u5c71\u897f        ~9        Shanxi
\u56db\u5ddd        ~A        Sichuan
\u897f\u85cf        ~B        Tibet
\u65b0\u7586        ~C        Xinjiang
\u4e91\u5357        ~D        Yunnan
\u6d59\u6c5f        ~E        Zhejiang
\u91cd\u5e86        ~F        Chongqing
\u7f8e\u56fd/\u52a0\u62ff\u5927        ~~~~~G        United States/Canada
\u4fc4\u7f57\u65af        ~~H        Russia
\u57c3\u53ca        ~I        Egypt
\u5357\u975e        ~J        South Africa
\u5e0c\u814a        ~K        Greece
\u8377\u5170        ~L        Netherlands
\u6bd4\u5229\u65f6        ~~M        Belgium
\u6cd5\u56fd        ~N        France
\u897f\u73ed\u7259        ~~O        Spain
\u5308\u7259\u5229        ~~P        Hungary
\u610f\u5927\u5229        ~~Q        Italy
\u7f57\u9a6c\u5c3c\u4e9a        ~~~R        Romania
\u745e\u58eb        ~S        Switzerland
\u5965\u5730\u5229        ~~T        Austria
\u82f1\u56fd        ~U        United Kingdom
\u4e39\u9ea6        ~V        Denmark
\u745e\u5178        ~W        Sweden
\u632a\u5a01        ~X        Norway
\u6ce2\u5170        ~Y        Poland
\u5fb7\u56fd        ~Z        Germany
\u79d8\u9c81        ~a        Peru
\u58a8\u897f\u54e5        ~~b        Mexico
\u53e4\u5df4        ~c        Cuba
\u963f\u6839\u5ef7        ~~d        Argentina
\u5df4\u897f        ~e        Brazil
\u667a\u5229        ~f        Chile
\u54e5\u4f26\u6bd4\u4e9a        ~~~g        Colombia
\u59d4\u5185\u745e\u62c9        ~~~h        Venezuela
\u9a6c\u6765\u897f\u4e9a        ~~~i        Malaysia
\u6fb3\u5927\u5229\u4e9a        ~~~j        Australia
\u5370\u5ea6\u5c3c\u897f\u4e9a        ~~~~k        Indonesia
\u83f2\u5f8b\u5bbe        ~~l        Philippines
\u65b0\u897f\u5170        ~~m        New Zealand
\u65b0\u52a0\u5761        ~~n        Singapore
\u6cf0\u56fd        ~o        Thailand
\u54c8\u8428\u514b\u65af\u5766        ~~~~p        Kazakhstan
\u65e5\u672c        ~q        Japan
\u97e9\u56fd        ~r        South Korea
\u8d8a\u5357        ~s        Vietnam
\u4e2d\u56fd        ~t        China
\u571f\u8033\u5176        ~~u        Turkey
\u5370\u5ea6        ~v        India
\u5df4\u57fa\u65af\u5766        ~~~w        Pakistan
\u963f\u5bcc\u6c57        ~~x        Afghanistan
\u65af\u91cc\u5170\u5361        ~~~y        Sri Lanka
\u7f05\u7538        ~z        Myanmar
\u4f0a\u6717        !~        Iran
\u6469\u6d1b\u54e5        ~!!        Morocco
\u963f\u5c14\u53ca\u5229\u4e9a        ~~~!#        Algeria
\u7a81\u5c3c\u65af        ~!$        Tunisia
\u5229\u6bd4\u4e9a        ~!%        Libya
\u5188\u6bd4\u4e9a        ~!&        Gambia
\u585e\u5185\u52a0\u5c14        ~~!*        Senegal
\u6bdb\u91cc\u5854\u5c3c\u4e9a        ~~~!+        Mauritania
\u9a6c\u91cc        !=        Mali
\u51e0\u5185\u4e9a        ~!?        Guinea
\u79d1\u7279\u8fea\u74e6        ~~!@        Cote d'Ivoire
\u5e03\u57fa\u7eb3\u6cd5\u7d22        ~~~!^        Burkina Faso
\u5c3c\u65e5\u5c14        ~!_        Niger
\u591a\u54e5        !|        Togo
\u8d1d\u5b81        !0        Benin
\u6bdb\u91cc\u6c42\u65af        ~~!1        Mauritius
\u5229\u6bd4\u91cc\u4e9a        ~~!2        Liberia
\u585e\u62c9\u5229        ~!3        Sierra Leone
\u52a0\u7eb3        !4        Ghana
\u5c3c\u65e5\u5229\u4e9a        ~~!5        Nigeria
\u4e4d\u5f97        !6        Chad
\u4e2d\u975e        !7        Central African Republic
\u5580\u9ea6\u9686        ~!8        Cameroon
\u4f5b\u5f97\u89d2        ~!9        Cape Verde
